[slurm] host=nodemm07  job=831993  start=2026-05-23T12:02:21+00:00
[slurm] btype=radio size=1024 epochs=30 batch=16 lr=7e-4 head=linear out=dinoseg_dw_radio_1024
NVIDIA H100 NVL, 95830 MiB
[data] train=3489  val=739  fg classes=20
[model] head=linear  trainable_params=21,525
  e000 it0050/219 loss=2.4024 lr=7.00e-04 elapsed=2.1min
  e000 it0100/219 loss=2.0407 lr=7.00e-04 elapsed=4.0min
  e000 it0150/219 loss=1.8781 lr=6.99e-04 elapsed=5.9min
  e000 it0200/219 loss=1.7862 lr=6.98e-04 elapsed=7.8min
[epoch 000] train=1.7585  val_loss=1.3849  mIoU_fg=0.2653
  [best] mIoU_fg=0.2653 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_radio_1024/best.pt
  e001 it0050/219 loss=1.4237 lr=6.97e-04 elapsed=12.7min
  e001 it0100/219 loss=1.4090 lr=6.96e-04 elapsed=14.7min
  e001 it0150/219 loss=1.3885 lr=6.95e-04 elapsed=16.6min
  e001 it0200/219 loss=1.3844 lr=6.93e-04 elapsed=18.5min
[epoch 001] train=1.3754  val_loss=1.3018  mIoU_fg=0.3322
  [best] mIoU_fg=0.3322 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_radio_1024/best.pt
  e002 it0050/219 loss=1.2726 lr=6.91e-04 elapsed=23.4min
  e002 it0100/219 loss=1.2933 lr=6.88e-04 elapsed=25.3min
  e002 it0150/219 loss=1.3063 lr=6.86e-04 elapsed=27.2min
  e002 it0200/219 loss=1.3084 lr=6.84e-04 elapsed=29.1min
[epoch 002] train=1.3056  val_loss=1.2772  mIoU_fg=0.3556
  [best] mIoU_fg=0.3556 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_radio_1024/best.pt
  e003 it0050/219 loss=1.2976 lr=6.80e-04 elapsed=34.0min
  e003 it0100/219 loss=1.2910 lr=6.77e-04 elapsed=35.9min
  e003 it0150/219 loss=1.2794 lr=6.74e-04 elapsed=37.8min
  e003 it0200/219 loss=1.2737 lr=6.71e-04 elapsed=39.7min
[epoch 003] train=1.2682  val_loss=1.2594  mIoU_fg=0.3741
  [best] mIoU_fg=0.3741 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_radio_1024/best.pt
  e004 it0050/219 loss=1.2463 lr=6.66e-04 elapsed=44.6min
  e004 it0100/219 loss=1.2493 lr=6.63e-04 elapsed=46.5min
  e004 it0150/219 loss=1.2544 lr=6.59e-04 elapsed=48.4min
  e004 it0200/219 loss=1.2467 lr=6.55e-04 elapsed=50.3min
[epoch 004] train=1.2442  val_loss=1.2359  mIoU_fg=0.3872
  [best] mIoU_fg=0.3872 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_radio_1024/best.pt
  e005 it0050/219 loss=1.2347 lr=6.49e-04 elapsed=55.2min
  e005 it0100/219 loss=1.2226 lr=6.44e-04 elapsed=57.1min
  e005 it0150/219 loss=1.2265 lr=6.40e-04 elapsed=59.0min
  e005 it0200/219 loss=1.2268 lr=6.35e-04 elapsed=60.9min
[epoch 005] train=1.2248  val_loss=1.2178  mIoU_fg=0.3967
  [best] mIoU_fg=0.3967 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_radio_1024/best.pt
  e006 it0050/219 loss=1.2015 lr=6.28e-04 elapsed=65.8min
  e006 it0100/219 loss=1.2045 lr=6.23e-04 elapsed=67.8min
  e006 it0150/219 loss=1.2054 lr=6.18e-04 elapsed=69.7min
  e006 it0200/219 loss=1.2142 lr=6.12e-04 elapsed=71.6min
[epoch 006] train=1.2135  val_loss=1.2184  mIoU_fg=0.4048
  [best] mIoU_fg=0.4048 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_radio_1024/best.pt
  e007 it0050/219 loss=1.2021 lr=6.04e-04 elapsed=76.5min
  e007 it0100/219 loss=1.1844 lr=5.99e-04 elapsed=78.4min
  e007 it0150/219 loss=1.1875 lr=5.93e-04 elapsed=80.3min
  e007 it0200/219 loss=1.1994 lr=5.87e-04 elapsed=82.2min
[epoch 007] train=1.2002  val_loss=1.2016  mIoU_fg=0.4001
  e008 it0050/219 loss=1.1935 lr=5.78e-04 elapsed=87.0min
  e008 it0100/219 loss=1.2036 lr=5.71e-04 elapsed=89.0min
  e008 it0150/219 loss=1.1973 lr=5.65e-04 elapsed=90.9min
  e008 it0200/219 loss=1.1949 lr=5.58e-04 elapsed=92.8min
[epoch 008] train=1.1931  val_loss=1.1999  mIoU_fg=0.4126
  [best] mIoU_fg=0.4126 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_radio_1024/best.pt
  e009 it0050/219 loss=1.2050 lr=5.49e-04 elapsed=97.7min
  e009 it0100/219 loss=1.1908 lr=5.42e-04 elapsed=99.6min
  e009 it0150/219 loss=1.1954 lr=5.35e-04 elapsed=101.5min
  e009 it0200/219 loss=1.1855 lr=5.28e-04 elapsed=103.4min
[epoch 009] train=1.1884  val_loss=1.2035  mIoU_fg=0.4150
  [best] mIoU_fg=0.4150 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_radio_1024/best.pt
  e010 it0050/219 loss=1.2162 lr=5.18e-04 elapsed=108.3min
  e010 it0100/219 loss=1.1860 lr=5.10e-04 elapsed=110.3min
  e010 it0150/219 loss=1.1823 lr=5.03e-04 elapsed=112.2min
  e010 it0200/219 loss=1.1783 lr=4.95e-04 elapsed=114.1min
[epoch 010] train=1.1784  val_loss=1.2003  mIoU_fg=0.4222
  [best] mIoU_fg=0.4222 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_radio_1024/best.pt
  e011 it0050/219 loss=1.1572 lr=4.85e-04 elapsed=119.0min
  e011 it0100/219 loss=1.1722 lr=4.77e-04 elapsed=120.9min
  e011 it0150/219 loss=1.1759 lr=4.69e-04 elapsed=122.8min
  e011 it0200/219 loss=1.1746 lr=4.61e-04 elapsed=124.7min
[epoch 011] train=1.1738  val_loss=1.1907  mIoU_fg=0.4164
  e012 it0050/219 loss=1.1689 lr=4.50e-04 elapsed=129.5min
  e012 it0100/219 loss=1.1769 lr=4.42e-04 elapsed=131.5min
  e012 it0150/219 loss=1.1706 lr=4.34e-04 elapsed=133.4min
  e012 it0200/219 loss=1.1635 lr=4.26e-04 elapsed=135.3min
[epoch 012] train=1.1667  val_loss=1.1886  mIoU_fg=0.4216
  e013 it0050/219 loss=1.1482 lr=4.15e-04 elapsed=140.1min
  e013 it0100/219 loss=1.1585 lr=4.06e-04 elapsed=142.0min
  e013 it0150/219 loss=1.1622 lr=3.98e-04 elapsed=143.9min
  e013 it0200/219 loss=1.1634 lr=3.90e-04 elapsed=145.9min
[epoch 013] train=1.1623  val_loss=1.1827  mIoU_fg=0.4187
  e014 it0050/219 loss=1.1594 lr=3.78e-04 elapsed=150.7min
  e014 it0100/219 loss=1.1558 lr=3.70e-04 elapsed=152.6min
  e014 it0150/219 loss=1.1528 lr=3.62e-04 elapsed=154.5min
  e014 it0200/219 loss=1.1575 lr=3.53e-04 elapsed=156.4min
[epoch 014] train=1.1563  val_loss=1.1821  mIoU_fg=0.4308
  [best] mIoU_fg=0.4308 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_radio_1024/best.pt
  e015 it0050/219 loss=1.1419 lr=3.42e-04 elapsed=161.3min
  e015 it0100/219 loss=1.1494 lr=3.33e-04 elapsed=163.2min
  e015 it0150/219 loss=1.1526 lr=3.25e-04 elapsed=165.2min
  e015 it0200/219 loss=1.1581 lr=3.17e-04 elapsed=167.1min
[epoch 015] train=1.1564  val_loss=1.1812  mIoU_fg=0.4261
  e016 it0050/219 loss=1.1487 lr=3.05e-04 elapsed=171.9min
  e016 it0100/219 loss=1.1419 lr=2.97e-04 elapsed=173.8min
  e016 it0150/219 loss=1.1506 lr=2.89e-04 elapsed=175.7min
  e016 it0200/219 loss=1.1507 lr=2.80e-04 elapsed=177.6min
[epoch 016] train=1.1531  val_loss=1.1776  mIoU_fg=0.4268
  e017 it0050/219 loss=1.1546 lr=2.69e-04 elapsed=182.5min
  e017 it0100/219 loss=1.1543 lr=2.61e-04 elapsed=184.4min
  e017 it0150/219 loss=1.1533 lr=2.53e-04 elapsed=186.3min
  e017 it0200/219 loss=1.1517 lr=2.45e-04 elapsed=188.2min
[epoch 017] train=1.1508  val_loss=1.1763  mIoU_fg=0.4250
  e018 it0050/219 loss=1.1518 lr=2.34e-04 elapsed=193.0min
  e018 it0100/219 loss=1.1431 lr=2.26e-04 elapsed=194.9min
  e018 it0150/219 loss=1.1501 lr=2.18e-04 elapsed=196.9min
  e018 it0200/219 loss=1.1478 lr=2.11e-04 elapsed=198.8min
[epoch 018] train=1.1500  val_loss=1.1753  mIoU_fg=0.4305
  e019 it0050/219 loss=1.1654 lr=2.00e-04 elapsed=203.6min
  e019 it0100/219 loss=1.1575 lr=1.93e-04 elapsed=205.5min
  e019 it0150/219 loss=1.1535 lr=1.85e-04 elapsed=207.4min
  e019 it0200/219 loss=1.1483 lr=1.78e-04 elapsed=209.3min
[epoch 019] train=1.1481  val_loss=1.1779  mIoU_fg=0.4382
  [best] mIoU_fg=0.4382 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_radio_1024/best.pt
  e020 it0050/219 loss=1.1514 lr=1.68e-04 elapsed=214.2min
  e020 it0100/219 loss=1.1509 lr=1.61e-04 elapsed=216.1min
  e020 it0150/219 loss=1.1454 lr=1.54e-04 elapsed=218.0min
  e020 it0200/219 loss=1.1444 lr=1.47e-04 elapsed=219.9min
[epoch 020] train=1.1452  val_loss=1.1753  mIoU_fg=0.4348
  e021 it0050/219 loss=1.1439 lr=1.38e-04 elapsed=224.7min
  e021 it0100/219 loss=1.1395 lr=1.31e-04 elapsed=226.7min
  e021 it0150/219 loss=1.1450 lr=1.25e-04 elapsed=228.6min
  e021 it0200/219 loss=1.1436 lr=1.18e-04 elapsed=230.5min
[epoch 021] train=1.1458  val_loss=1.1762  mIoU_fg=0.4370
  e022 it0050/219 loss=1.1355 lr=1.10e-04 elapsed=235.3min
  e022 it0100/219 loss=1.1354 lr=1.04e-04 elapsed=237.2min
  e022 it0150/219 loss=1.1405 lr=9.78e-05 elapsed=239.1min
  e022 it0200/219 loss=1.1440 lr=9.20e-05 elapsed=241.0min
[epoch 022] train=1.1450  val_loss=1.1739  mIoU_fg=0.4325
  e023 it0050/219 loss=1.1305 lr=8.44e-05 elapsed=245.9min
  e023 it0100/219 loss=1.1452 lr=7.90e-05 elapsed=247.8min
  e023 it0150/219 loss=1.1452 lr=7.38e-05 elapsed=249.7min
  e023 it0200/219 loss=1.1434 lr=6.87e-05 elapsed=251.6min
[epoch 023] train=1.1429  val_loss=1.1760  mIoU_fg=0.4360
  e024 it0050/219 loss=1.1483 lr=6.20e-05 elapsed=256.4min
  e024 it0100/219 loss=1.1452 lr=5.73e-05 elapsed=258.4min
  e024 it0150/219 loss=1.1497 lr=5.28e-05 elapsed=260.3min
  e024 it0200/219 loss=1.1430 lr=4.85e-05 elapsed=262.2min
[epoch 024] train=1.1411  val_loss=1.1738  mIoU_fg=0.4361
  e025 it0050/219 loss=1.1422 lr=4.28e-05 elapsed=267.0min
  e025 it0100/219 loss=1.1395 lr=3.89e-05 elapsed=268.9min
  e025 it0150/219 loss=1.1452 lr=3.51e-05 elapsed=270.8min
  e025 it0200/219 loss=1.1401 lr=3.16e-05 elapsed=272.7min
[epoch 025] train=1.1408  val_loss=1.1730  mIoU_fg=0.4353
  e026 it0050/219 loss=1.1601 lr=2.69e-05 elapsed=277.6min
  e026 it0100/219 loss=1.1515 lr=2.38e-05 elapsed=279.5min
  e026 it0150/219 loss=1.1445 lr=2.09e-05 elapsed=281.4min
  e026 it0200/219 loss=1.1435 lr=1.81e-05 elapsed=283.3min
[epoch 026] train=1.1437  val_loss=1.1732  mIoU_fg=0.4354
  e027 it0050/219 loss=1.1292 lr=1.46e-05 elapsed=288.1min
  e027 it0100/219 loss=1.1390 lr=1.23e-05 elapsed=290.1min
  e027 it0150/219 loss=1.1350 lr=1.02e-05 elapsed=292.0min
  e027 it0200/219 loss=1.1386 lr=8.32e-06 elapsed=293.9min
[epoch 027] train=1.1397  val_loss=1.1730  mIoU_fg=0.4357
  e028 it0050/219 loss=1.1393 lr=6.01e-06 elapsed=298.7min
  e028 it0100/219 loss=1.1415 lr=4.56e-06 elapsed=300.6min
  e028 it0150/219 loss=1.1424 lr=3.31e-06 elapsed=302.5min
  e028 it0200/219 loss=1.1411 lr=2.26e-06 elapsed=304.4min
[epoch 028] train=1.1423  val_loss=1.1729  mIoU_fg=0.4358
  e029 it0050/219 loss=1.1215 lr=1.14e-06 elapsed=309.3min
  e029 it0100/219 loss=1.1321 lr=5.66e-07 elapsed=311.2min
  e029 it0150/219 loss=1.1326 lr=1.90e-07 elapsed=313.1min
  e029 it0200/219 loss=1.1405 lr=1.44e-08 elapsed=315.0min
[epoch 029] train=1.1401  val_loss=1.1729  mIoU_fg=0.4358
[done] best_mIoU_fg=0.4382  total_time=317.9min
[slurm] done=2026-05-23T17:20:27+00:00
