[slurm] host=nodemm07  job=831776  start=2026-05-22T19:14:02+00:00
[slurm] btype=dinov2 size=518 epochs=80 batch=32 lr=1e-3 head=conv out=dinoseg_dw_dinov2_518_conv
NVIDIA H100 NVL, 95830 MiB
[data] train=3489  val=739  fg classes=20
[model] head=conv  trainable_params=1,775,125
  e000 it0050/110 loss=1.7195 lr=1.00e-03 elapsed=0.4min
  e000 it0100/110 loss=1.4097 lr=1.00e-03 elapsed=0.7min
[epoch 000] train=1.3445  val_loss=0.7744  mIoU_fg=0.2816
  [best] mIoU_fg=0.2816 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov2_518_conv/best.pt
  e001 it0050/110 loss=0.7265 lr=9.99e-04 elapsed=1.4min
  e001 it0100/110 loss=0.6677 lr=9.99e-04 elapsed=1.7min
[epoch 001] train=0.6603  val_loss=0.5827  mIoU_fg=0.3895
  [best] mIoU_fg=0.3895 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov2_518_conv/best.pt
  e002 it0050/110 loss=0.5338 lr=9.98e-04 elapsed=2.4min
  e002 it0100/110 loss=0.5243 lr=9.97e-04 elapsed=2.8min
[epoch 002] train=0.5338  val_loss=0.4642  mIoU_fg=0.3572
  e003 it0050/110 loss=0.4671 lr=9.95e-04 elapsed=3.4min
  e003 it0100/110 loss=0.4504 lr=9.94e-04 elapsed=3.7min
[epoch 003] train=0.4425  val_loss=0.4497  mIoU_fg=0.3931
  [best] mIoU_fg=0.3931 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov2_518_conv/best.pt
  e004 it0050/110 loss=0.3791 lr=9.92e-04 elapsed=4.4min
  e004 it0100/110 loss=0.3980 lr=9.91e-04 elapsed=4.8min
[epoch 004] train=0.3995  val_loss=0.5068  mIoU_fg=0.3626
  e005 it0050/110 loss=0.3886 lr=9.89e-04 elapsed=5.5min
  e005 it0100/110 loss=0.3801 lr=9.87e-04 elapsed=5.8min
[epoch 005] train=0.3744  val_loss=0.4533  mIoU_fg=0.4258
