[slurm] host=nodemm07  job=831566  start=2026-05-22T16:58:46+00:00
[slurm] btype=dinov3 size=1024 epochs=30 batch=16 lr=7e-4 out=dinoseg_dw_dinov3_1024
NVIDIA H100 NVL, 95830 MiB
[data] train=3489  val=739  fg classes=20
[model] head=linear  trainable_params=16,149
  e000 it0050/219 loss=2.6941 lr=7.00e-04 elapsed=0.9min
  e000 it0100/219 loss=2.2273 lr=7.00e-04 elapsed=1.6min
  e000 it0150/219 loss=2.0551 lr=6.99e-04 elapsed=2.4min
  e000 it0200/219 loss=1.9380 lr=6.98e-04 elapsed=3.2min
[epoch 000] train=1.9071  val_loss=1.4372  mIoU_fg=0.2433
  [best] mIoU_fg=0.2433 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e001 it0050/219 loss=1.4803 lr=6.97e-04 elapsed=5.4min
  e001 it0100/219 loss=1.4482 lr=6.96e-04 elapsed=6.2min
  e001 it0150/219 loss=1.4287 lr=6.95e-04 elapsed=6.9min
  e001 it0200/219 loss=1.4202 lr=6.93e-04 elapsed=7.6min
[epoch 001] train=1.4160  val_loss=1.3190  mIoU_fg=0.2987
  [best] mIoU_fg=0.2987 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e002 it0050/219 loss=1.3210 lr=6.91e-04 elapsed=9.9min
  e002 it0100/219 loss=1.3343 lr=6.88e-04 elapsed=10.6min
  e002 it0150/219 loss=1.3422 lr=6.86e-04 elapsed=11.4min
  e002 it0200/219 loss=1.3359 lr=6.84e-04 elapsed=12.1min
[epoch 002] train=1.3307  val_loss=1.2639  mIoU_fg=0.3489
  [best] mIoU_fg=0.3489 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e003 it0050/219 loss=1.2899 lr=6.80e-04 elapsed=14.4min
  e003 it0100/219 loss=1.2734 lr=6.77e-04 elapsed=15.1min
  e003 it0150/219 loss=1.2785 lr=6.74e-04 elapsed=15.9min
  e003 it0200/219 loss=1.2785 lr=6.71e-04 elapsed=16.6min
[epoch 003] train=1.2827  val_loss=1.2418  mIoU_fg=0.3803
  [best] mIoU_fg=0.3803 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e004 it0050/219 loss=1.2483 lr=6.66e-04 elapsed=18.9min
  e004 it0100/219 loss=1.2555 lr=6.63e-04 elapsed=19.6min
  e004 it0150/219 loss=1.2492 lr=6.59e-04 elapsed=20.4min
  e004 it0200/219 loss=1.2574 lr=6.55e-04 elapsed=21.1min
[epoch 004] train=1.2552  val_loss=1.2247  mIoU_fg=0.4058
  [best] mIoU_fg=0.4058 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e005 it0050/219 loss=1.2377 lr=6.49e-04 elapsed=23.4min
  e005 it0100/219 loss=1.2378 lr=6.44e-04 elapsed=24.1min
  e005 it0150/219 loss=1.2416 lr=6.40e-04 elapsed=24.8min
  e005 it0200/219 loss=1.2354 lr=6.35e-04 elapsed=25.6min
[epoch 005] train=1.2354  val_loss=1.2142  mIoU_fg=0.4206
  [best] mIoU_fg=0.4206 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e006 it0050/219 loss=1.2170 lr=6.28e-04 elapsed=27.8min
  e006 it0100/219 loss=1.2179 lr=6.23e-04 elapsed=28.6min
  e006 it0150/219 loss=1.2229 lr=6.18e-04 elapsed=29.3min
  e006 it0200/219 loss=1.2261 lr=6.12e-04 elapsed=30.1min
[epoch 006] train=1.2197  val_loss=1.2037  mIoU_fg=0.4316
  [best] mIoU_fg=0.4316 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e007 it0050/219 loss=1.2174 lr=6.04e-04 elapsed=32.3min
  e007 it0100/219 loss=1.2152 lr=5.99e-04 elapsed=33.1min
  e007 it0150/219 loss=1.2065 lr=5.93e-04 elapsed=33.8min
  e007 it0200/219 loss=1.1997 lr=5.87e-04 elapsed=34.6min
[epoch 007] train=1.2048  val_loss=1.1938  mIoU_fg=0.4170
  e008 it0050/219 loss=1.1908 lr=5.78e-04 elapsed=36.8min
  e008 it0100/219 loss=1.1972 lr=5.71e-04 elapsed=37.6min
  e008 it0150/219 loss=1.2029 lr=5.65e-04 elapsed=38.3min
  e008 it0200/219 loss=1.2013 lr=5.58e-04 elapsed=39.0min
[epoch 008] train=1.2014  val_loss=1.1895  mIoU_fg=0.4324
  [best] mIoU_fg=0.4324 saved -> /home/ids/diecidue/results/waste_vlm/dinoseg_dw_dinov3_1024/best.pt
  e009 it0050/219 loss=1.1824 lr=5.49e-04 elapsed=41.3min
  e009 it0100/219 loss=1.1876 lr=5.42e-04 elapsed=42.0min
  e009 it0150/219 loss=1.1915 lr=5.35e-04 elapsed=42.8min
  e009 it0200/219 loss=1.1919 lr=5.28e-04 elapsed=43.5min
[epoch 009] train=1.1900  val_loss=1.1861  mIoU_fg=0.4298
  e010 it0050/219 loss=1.1902 lr=5.18e-04 elapsed=45.7min
  e010 it0100/219 loss=1.1812 lr=5.10e-04 elapsed=46.5min
  e010 it0150/219 loss=1.1856 lr=5.03e-04 elapsed=47.2min
  e010 it0200/219 loss=1.1865 lr=4.95e-04 elapsed=48.0min
[epoch 010] train=1.1848  val_loss=1.1853  mIoU_fg=0.4268
  e011 it0050/219 loss=1.1898 lr=4.85e-04 elapsed=50.2min
  e011 it0100/219 loss=1.1735 lr=4.77e-04 elapsed=50.9min
  e011 it0150/219 loss=1.1782 lr=4.69e-04 elapsed=51.7min
  e011 it0200/219 loss=1.1798 lr=4.61e-04 elapsed=52.4min
[epoch 011] train=1.1789  val_loss=1.1764  mIoU_fg=0.4350
